x	y	key	label	showSelected1	showSelected2	group
2.3	98	1	1 nearest neighbors for validation fold 1	1	1	-1
2.3	98	1	2 nearest neighbors for validation fold 1	1	2	-1
2.3	98	1	3 nearest neighbors for validation fold 1	1	3	-1
2.3	98	1	4 nearest neighbors for validation fold 1	1	4	-1
2.3	98	1	5 nearest neighbors for validation fold 1	1	5	-1
2.3	98	1	6 nearest neighbors for validation fold 1	1	6	-1
2.3	98	1	7 nearest neighbors for validation fold 1	1	7	-1
2.3	98	1	8 nearest neighbors for validation fold 1	1	8	-1
2.3	98	1	9 nearest neighbors for validation fold 1	1	9	-1
2.3	98	1	10 nearest neighbors for validation fold 1	1	10	-1
2.3	98	1	11 nearest neighbors for validation fold 1	1	11	-1
2.3	98	1	12 nearest neighbors for validation fold 1	1	12	-1
2.3	98	1	13 nearest neighbors for validation fold 1	1	13	-1
2.3	98	1	14 nearest neighbors for validation fold 1	1	14	-1
2.3	98	1	15 nearest neighbors for validation fold 1	1	15	-1
2.3	98	1	16 nearest neighbors for validation fold 1	1	16	-1
2.3	98	1	17 nearest neighbors for validation fold 1	1	17	-1
2.3	98	1	18 nearest neighbors for validation fold 1	1	18	-1
2.3	98	1	19 nearest neighbors for validation fold 1	1	19	-1
2.3	98	1	20 nearest neighbors for validation fold 1	1	20	-1
2.3	98	1	1 nearest neighbors for validation fold 2	2	1	-1
2.3	98	1	2 nearest neighbors for validation fold 2	2	2	-1
2.3	98	1	3 nearest neighbors for validation fold 2	2	3	-1
2.3	98	1	4 nearest neighbors for validation fold 2	2	4	-1
2.3	98	1	5 nearest neighbors for validation fold 2	2	5	-1
2.3	98	1	6 nearest neighbors for validation fold 2	2	6	-1
2.3	98	1	7 nearest neighbors for validation fold 2	2	7	-1
2.3	98	1	8 nearest neighbors for validation fold 2	2	8	-1
2.3	98	1	9 nearest neighbors for validation fold 2	2	9	-1
2.3	98	1	10 nearest neighbors for validation fold 2	2	10	-1
2.3	98	1	11 nearest neighbors for validation fold 2	2	11	-1
2.3	98	1	12 nearest neighbors for validation fold 2	2	12	-1
2.3	98	1	13 nearest neighbors for validation fold 2	2	13	-1
2.3	98	1	14 nearest neighbors for validation fold 2	2	14	-1
2.3	98	1	15 nearest neighbors for validation fold 2	2	15	-1
2.3	98	1	16 nearest neighbors for validation fold 2	2	16	-1
2.3	98	1	17 nearest neighbors for validation fold 2	2	17	-1
2.3	98	1	18 nearest neighbors for validation fold 2	2	18	-1
2.3	98	1	19 nearest neighbors for validation fold 2	2	19	-1
2.3	98	1	20 nearest neighbors for validation fold 2	2	20	-1
2.3	98	1	1 nearest neighbors for validation fold 3	3	1	-1
2.3	98	1	2 nearest neighbors for validation fold 3	3	2	-1
2.3	98	1	3 nearest neighbors for validation fold 3	3	3	-1
2.3	98	1	4 nearest neighbors for validation fold 3	3	4	-1
2.3	98	1	5 nearest neighbors for validation fold 3	3	5	-1
2.3	98	1	6 nearest neighbors for validation fold 3	3	6	-1
2.3	98	1	7 nearest neighbors for validation fold 3	3	7	-1
2.3	98	1	8 nearest neighbors for validation fold 3	3	8	-1
2.3	98	1	9 nearest neighbors for validation fold 3	3	9	-1
2.3	98	1	10 nearest neighbors for validation fold 3	3	10	-1
2.3	98	1	11 nearest neighbors for validation fold 3	3	11	-1
2.3	98	1	12 nearest neighbors for validation fold 3	3	12	-1
2.3	98	1	13 nearest neighbors for validation fold 3	3	13	-1
2.3	98	1	14 nearest neighbors for validation fold 3	3	14	-1
2.3	98	1	15 nearest neighbors for validation fold 3	3	15	-1
2.3	98	1	16 nearest neighbors for validation fold 3	3	16	-1
2.3	98	1	17 nearest neighbors for validation fold 3	3	17	-1
2.3	98	1	18 nearest neighbors for validation fold 3	3	18	-1
2.3	98	1	19 nearest neighbors for validation fold 3	3	19	-1
2.3	98	1	20 nearest neighbors for validation fold 3	3	20	-1
